Athlete_ID,Name,Sex
116073,Su Yuling,F
116262,Sui Lu,F
116263,Sui Ran,M
116464,Sun Huizi,F
116465,Sun Jie,M
116479,Sun Man,M
116480,Sun Meichen,F
116481,Sun Mengran,F
116482,Sun Mengxin,F
116492,Sun Sinan,F
116497,Sun Wei,M
116499,Sun Wenyan,F
116500,Sun Xiao,F
116504,Sun Yanan,F
116505,Sun Yang,M
116506,Sun Yating,F
116507,Sun Yawei,F
116508,Sun Ye,F
116511,Sun Yiwen,F
116513,Sun Yue,M
116514,Sun Yujie,F
116515,Sun Yujun,F
118266,Tan Jian,F
118268,Tan Jiaxin,F
118280,Tan Ruyin,F
118298,Tan Ya,M
118303,Tan Zongliang,M
118408,Tang Bin,F
118426,Tang Mengni,F
118436,Tang Xingqiang,M
118439,Tang Yi,F
118442,Tang Yuanting,F
119165,Teng Fei,F
119169,Teng Zhiqiang,M
120213,Tian Liang,F
120215,Tian Qing,F
120216,Tian Tao,M
121037,Tong Weisong,M
121038,Tong Wen,F
128401,Wang Aichen,M
128417,Wang Chengxiang,M
128428,Wang Chunxin,M
128429,Wang Chunyu,F
128433,Wang Dapeng,M
128436,Wang Fan,F
128447,Wang Guan,M
128453,Wang Haibing,F
128456,Wang Hao,M
128458,Wang Hao,F
128468,Wang Hui,F
128476,Wang Jiali,F
128478,Wang Jianan,M
128481,Wang Jiao,F
128490,Wang Jingzhi,M
128506,Wang Lianyuan,F
128523,Wang Lumin,M
128527,Wang Mengyu,F
128529,Wang Min,F
128531,Wang Mingjuan,F
128535,Wang Na,F
128545,Wang Qiang,F
128551,Wang Shanshan,F
128558,Wang Shijia,F
128562,Wang Shipeng,M
128564,Wang Shuang,F
128565,Wang Shun,M
128570,Wang Tao,M
128573,Wang Tiexin,M
128577,Wang Wei,M
128582,Wang Weidong,M
128586,Wang Weiyi,M
128595,Wang Xiaoli,F
128596,Wang Xiaoli,F
128604,Wang Xin,F
128606,Wang Xinyan,F
128612,Wang Xuanxuan,M
128613,Wang Xueer,F
128614,Wang Xueqin,F
128618,Wang Yan,F
128625,Wang Yi,F
128627,Wang Yihan,F
128628,Wang Yimei,F
